power_kW,c_mean_mgNm3,c_median_mgNm3,c_p95_mgNm3,compliance_probability,dust_load_index,feasible,regime,limit_mgNm3,global_iterations,local_success,design_confidence,voltage_upper_factor,verification_repair,U1_kV,U2_kV,U3_kV,U4_kV,T1_s,T2_s,T3_s,T4_s,history_power_mean_kW,saving_vs_history_pct
2149.5047876192116,2.8324307463353815,2.677540897298587,4.749635755133486,0.9634,0.9028978338253782,True,0,5.0,90,True,0.975,1.03,False,72.88381146073885,71.31166234068908,59.63848952984304,59.946000000000005,290.0,289.0,506.0,509.9999999999999,1668.4366666666667,-28.83346611613735
2076.3267671289886,2.755922133714422,2.6359042231738252,4.630730514361145,0.9751,1.0982096871786042,True,1,5.0,90,True,0.975,1.03,False,70.2421600185768,72.61288311949563,54.286944049306115,59.39971879461536,290.0,289.0,505.99999999999045,509.99999999999864,1826.2083920187795,-13.696047844447596
2103.851340284726,2.1359253868573043,1.7899322099820227,4.735443013260662,0.9628,1.257071639629438,True,2,5.0,90,True,0.975,1.03,False,73.02699795437282,71.01744477871735,58.24250561122499,56.93800990525931,289.99999985926667,289.0,505.99999994325407,509.9999999278778,1602.8751584283905,-31.25484721764231
2131.683995436136,1.7818832128203856,1.3287739504597758,4.326493028214429,0.9767,1.449999999990085,True,3,5.0,90,True,0.975,1.03,False,72.47781155024023,71.45224468135638,57.481254754391365,59.946000000000005,285.1874713918518,285.37328675625366,506.0,503.6601910621121,1772.3654489164085,-20.27338925724421
2186.2312273545185,2.1511804427520307,1.798878845889746,4.7461669459412175,0.9661,1.4499999999999962,True,4,5.0,90,True,0.975,1.03,False,69.39495525035444,73.542,60.976000000000006,56.72371724975155,259.06037777669167,255.57233849904657,458.68155503982075,457.0901983040884,1923.5180533751961,-13.657952079957852
2123.2382740614476,2.800022429327765,2.624757546377446,4.693422564485003,0.9649,1.4499999999999327,True,5,5.0,90,True,0.975,1.03,False,71.85898323335483,69.0978387221143,58.04672031579826,54.86480397626,255.16696901207214,254.95644367789063,450.40506342314575,446.6127411536707,1691.1372377622379,-25.55091489032424
2231.0846533301037,2.9042581653519424,2.7735041983201105,4.659298861291409,0.9699,1.4499999999143258,True,6,5.0,90,True,0.975,1.03,False,72.56101231795616,71.66894740851819,60.35966109523862,59.35073219799599,254.63756390785392,252.0073324243796,452.18799198339866,449.7865587830141,1805.110889443059,-23.598204762837188
2261.68670036761,2.988551579560108,2.8799743115446352,4.6752919078894575,0.9703,1.450000000011514,True,7,5.0,90,True,0.975,1.03,False,73.02699999999969,71.96802670287512,60.97599999999915,59.50909355207324,249.60727707335312,249.9492767429907,440.5122866145235,434.97411830506945,1866.8557471264369,-21.14951590924567
