gap_step,gap_mgNm3,outlet_mgNm3,count,empirical_probability,posterior_mean_probability
33,0.33,49.67,59,0.012998457810090328,0.01292916123424598
34,0.34,49.66,51,0.011235955056179775,0.011190786614515428
35,0.35000000000000003,49.65,63,0.013879709187045605,0.013798348544111256
36,0.36,49.64,54,0.011896893588896233,0.011842677096914386
37,0.37,49.63,35,0.007710949548358669,0.007714037375054324
38,0.38,49.62,49,0.010795329367702137,0.01075619295958279
39,0.39,49.61,54,0.011896893588896233,0.011842677096914386
40,0.4,49.6,52,0.011456267900418595,0.011408083441981747
41,0.41000000000000003,49.59,47,0.0103547036792245,0.010321599304650151
42,0.42,49.58,42,0.009253139458030404,0.009235115167318557
43,0.43,49.57,47,0.0103547036792245,0.010321599304650151
44,0.44,49.56,31,0.006829698171403393,0.006844850065189048
45,0.45,49.55,43,0.009473452302269222,0.009452411994784877
46,0.46,49.54,35,0.007710949548358669,0.007714037375054324
47,0.47000000000000003,49.53,29,0.006389072482925755,0.00641025641025641
48,0.48,49.52,28,0.006168759638686935,0.006192959582790091
49,0.49,49.51,31,0.006829698171403393,0.006844850065189048
50,0.5,49.5,22,0.004846882573254021,0.0048891786179921775
51,0.51,49.49,32,0.007050011015642212,0.007062146892655367
52,0.52,49.48,35,0.007710949548358669,0.007714037375054324
53,0.53,49.47,19,0.004185944040537563,0.00423728813559322
54,0.54,49.46,21,0.004626569729015202,0.0046718817905258584
55,0.55,49.45,18,0.0039656311962987445,0.004019991308126901
56,0.56,49.44,24,0.005287508261731659,0.005323772272924816
57,0.5700000000000001,49.43,22,0.004846882573254021,0.0048891786179921775
58,0.58,49.42,17,0.003745318352059925,0.003802694480660582
59,0.59,49.41,16,0.003525005507821106,0.003585397653194263
60,0.6,49.4,18,0.0039656311962987445,0.004019991308126901
61,0.61,49.39,17,0.003745318352059925,0.003802694480660582
62,0.62,49.38,17,0.003745318352059925,0.003802694480660582
63,0.63,49.37,15,0.003304692663582287,0.0033681008257279445
64,0.64,49.36,15,0.003304692663582287,0.0033681008257279445
65,0.65,49.35,11,0.0024234412866270105,0.0024989135158626683
66,0.66,49.34,13,0.0028640669751046487,0.0029335071707953064
67,0.67,49.33,7,0.0015421899096717338,0.0016297262059973925
68,0.68,49.32,7,0.0015421899096717338,0.0016297262059973925
69,0.6900000000000001,49.31,12,0.0026437541308658294,0.0027162103433289874
70,0.7000000000000001,49.3,8,0.001762502753910553,0.0018470230334637113
71,0.71,49.29,6,0.0013218770654329147,0.0014124293785310734
72,0.72,49.28,6,0.0013218770654329147,0.0014124293785310734
73,0.73,49.27,2,0.0004406256884776382,0.0005432420686657974
74,0.74,49.26,4,0.0008812513769552765,0.0009778357235984355
75,0.75,49.25,4,0.0008812513769552765,0.0009778357235984355
76,0.76,49.24,6,0.0013218770654329147,0.0014124293785310734
77,0.77,49.23,4,0.0008812513769552765,0.0009778357235984355
78,0.78,49.22,3,0.0006609385327164573,0.0007605388961321165
79,0.79,49.21,7,0.0015421899096717338,0.0016297262059973925
