regime,label,parameter,parameter_type,direction,direct_delta_power_kW,direct_p95_reduction_mgNm3,direct_benefit_mgNm3_per_kW,constraint_direction,constraint_delta_power_kW,dust_load_relief,dust_relief_per_added_kW,dust_load_index,relative_dust_slack,dust_constraint_active,primary_action_class,primary_parameter,secondary_parameter,operational_role,operational_rank,is_primary_action,is_tied_primary,is_secondary_action
3,R4,T4_s,振打周期,缩短1%,1.0730825047128292,0.011995882548280434,0.01117890049981822,缩短1%,1.0730825047128292,0.0027786946499008813,0.0025894510792014973,1.449999999986336,9.423419898808036e-12,True,周期优先,T4_s、T3_s,U3_kV,一级：恢复尘负荷安全裕量,1,True,True,False
3,R4,T3_s,振打周期,缩短1%,1.0921944142255597,0.012204268505911386,0.011174080682847152,缩短1%,1.0921944142255597,0.0027996238521710293,0.0025633017489438024,1.449999999986336,9.423419898808036e-12,True,周期优先,T4_s、T3_s,U3_kV,一级：恢复尘负荷安全裕量,2,False,True,False
3,R4,T2_s,振打周期,缩短1%,1.9046208422257678,0.027860656821765417,0.01462792814406412,缩短1%,1.9046208422257678,0.004469440934661506,0.002346630277046875,1.449999999986336,9.423419898808036e-12,True,周期优先,T4_s、T3_s,U3_kV,一级：恢复尘负荷安全裕量,3,False,False,False
3,R4,T1_s,振打周期,缩短1%,1.9013861763646673,0.021341562750867737,0.011224212638208764,缩短1%,1.9013861763646673,0.004452240563129539,0.002341576171360385,1.449999999986336,9.423419898808036e-12,True,周期优先,T4_s、T3_s,U3_kV,一级：恢复尘负荷安全裕量,4,False,False,False
3,R4,U3_kV,电压,提高1%,4.413095844461623,0.25990458200445055,0.05889393549669387,,0.0,0.0,0.0,1.449999999986336,9.423419898808036e-12,True,周期优先,T4_s、T3_s,U3_kV,二级：约束恢复后的直接减排,5,False,False,True
3,R4,U2_kV,电压,上限处反向差分,8.504933477813665,0.49643245153573723,0.05836993938056685,,0.0,0.0,0.0,1.449999999986336,9.423419898808036e-12,True,周期优先,T4_s、T3_s,U3_kV,二级：约束恢复后的直接减排,6,False,False,False
3,R4,U4_kV,电压,上限处反向差分,5.744808217992613,0.32604866887295536,0.05675536179811505,,0.0,0.0,0.0,1.449999999986336,9.423419898808036e-12,True,周期优先,T4_s、T3_s,U3_kV,二级：约束恢复后的直接减排,7,False,False,False
3,R4,U1_kV,电压,上限处反向差分,8.385055316666694,0.45119367704430324,0.05380926660644452,,0.0,0.0,0.0,1.449999999986336,9.423419898808036e-12,True,周期优先,T4_s、T3_s,U3_kV,二级：约束恢复后的直接减排,8,False,False,False
4,R5,T4_s,振打周期,缩短1%,1.186141036508161,0.0026580859570994875,0.002240952698950989,缩短1%,1.186141036508161,0.002781075278611489,0.0023446413141548486,1.4499999999871944,8.831403041814814e-12,True,周期优先,T4_s、T3_s,U1_kV,一级：恢复尘负荷安全裕量,1,True,True,False
4,R5,T3_s,振打周期,缩短1%,1.2051071167643386,0.003497485161330971,0.00290221932364118,缩短1%,1.2051071167643386,0.002807043362629935,0.0023292895076138355,1.4499999999871944,8.831403041814814e-12,True,周期优先,T4_s、T3_s,U1_kV,一级：恢复尘负荷安全裕量,2,False,True,False
