power_kW,c_mean_mgNm3,c_median_mgNm3,c_p95_mgNm3,compliance_probability,dust_load_index,feasible,regime,limit_mgNm3,global_iterations,local_success,design_confidence,voltage_upper_factor,U1_kV,U2_kV,U3_kV,U4_kV,T1_s,T2_s,T3_s,T4_s,history_power_mean_kW,saving_vs_history_pct
2505.844914117918,3.8293570755838706,3.6297895376077425,6.29356005920695,0.823,0.5468978837886803,False,0,5.0,90,False,0.975,1.0,70.89814496794507,71.39995602326545,59.19497467100165,58.19898512252303,157.0395878756264,156.64478366029311,361.6826670249919,358.8064338399404,1668.4366666666667,-50.19119180138201
2066.040611904603,2.7965358077781364,2.6900731452877626,4.676335097874322,0.9729,1.0983646394664093,True,1,5.0,90,True,0.975,1.0,70.89999999999998,69.45842476796723,59.19999999999998,56.66653494605099,289.99999999999983,288.99999999999926,505.99999999999807,509.99999999999926,1826.2083920187795,-13.132795848161733
2491.3348740856386,2.0290709490390717,1.755512262003831,4.396578981115042,0.978,0.7767082783531917,True,2,5.0,90,False,0.975,1.0,70.89948867305812,71.39865353594399,59.19830814937269,58.1988264712085,158.3579427548374,155.88832020785543,364.63693418482313,390.6934340220354,1602.8751584283905,-55.42912752658651
2481.3796867151295,1.859603307105284,1.43696101062216,4.300043335463396,0.9758,0.9099938193887064,True,3,5.0,90,False,0.975,1.0,70.89920897945237,71.39885315574966,59.19958520045346,58.19853864132257,168.80439601431698,155.55550839484346,361.3721523694787,366.6858901371136,1772.3654489164085,-40.003839966085955
2503.5223555782886,2.2909589403704755,1.934566098695007,4.887190020092725,0.9562,0.9870442081284918,True,4,5.0,90,False,0.975,1.0,70.89888729995094,71.39913357108877,59.19792160606963,58.19950242684197,157.8621338420911,154.79839109134412,359.26923249681147,373.08251264754716,1923.5180533751961,-30.153306915178636
2108.6903049274865,2.795216897635804,2.6029583573606416,4.752907848473279,0.9636,1.4500000000002304,True,5,5.0,90,True,0.975,1.0,70.89999999999718,70.96803992900963,59.19999999999354,50.95098553610591,249.19459454086834,262.3913891984935,427.5395378909372,474.12306635380037,1691.1372377622379,-24.690667193738047
2508.7968737277492,3.8444446793647584,3.6965379332941937,6.098721434043381,0.8288,0.9960600574226697,False,6,5.0,90,False,0.975,1.0,70.89853003874356,71.39778653136564,59.19934433887598,58.198133614993175,157.03365917093072,155.1221084931518,360.88142087666364,360.7103848188531,1805.110889443059,-38.98297818710752
2503.937198283268,4.243477007614937,4.1180353031813315,6.555969475399358,0.7438,1.019734914628289,False,7,5.0,90,False,0.975,1.0,70.89821450260955,71.3991775175746,59.19488458000893,58.19879214754116,160.2822302752819,154.96027417416798,359.1795037632245,358.2402896383203,1866.8557471264369,-34.125906735828984
