regime,component,increment_kW,share_pct
0,U1,44.485106776645516,38.00779509731792
0,U2,14.942860299064547,12.767085740993673
0,U3,18.01936433804091,15.395631418462361
0,U4,39.59472972855555,33.829487743225826
0,T1,1.8643489967065663e-13,1.5928880425642698e-13
0,T2,9.341875193389739e-14,7.981639337358665e-14
0,T3,0.0,0.0
0,T4,-2.3138235135877487e-14,-1.976916239346181e-14
1,U1,26.003762265987415,21.87004043342521
1,U2,-30.550765601830317,-25.694223480040502
1,U3,18.019364338041484,15.154892689241533
1,U4,105.42893844965232,88.66929035737516
1,T1,0.0,0.0
1,T2,-1.354571903041512e-12,-1.1392406216637397e-12
1,T3,-3.084603019280935e-13,-2.594255095193546e-13
1,T4,0.0,0.0
2,U1,19.50480762972113,17.688423204378427
2,U2,33.628370265010844,30.496729637807352
2,U3,18.019364338041868,16.341311759439588
2,U4,39.11623301426101,35.47353538945006
2,T1,2.851288746838105e-10,2.585762597068757e-10
2,T2,1.0534599108705774e-09,9.553564990782722e-10
2,T3,8.502423490061501e-09,7.710635644818525e-09
2,T4,0.0,0.0
3,U1,26.00376226599367,22.585936246465415
3,U2,12.326652321481854,10.706488569518358
3,U3,18.019364397547868,15.650974321399522
3,U4,59.02681037529338,51.26857269080772
3,T1,-1.7383060794274572,-1.5098303808959053
3,T2,0.0,0.0
3,T3,1.4942575278323342,1.2978585527047957
3,T4,9.255294054350995e-14,8.03881681871983e-14
4,U1,15.27934248206007,12.294678084983582
4,U2,32.974789207338276,26.53349898403182
4,U3,22.170901890887478,17.84004134485921
4,U4,53.863787358073346,43.34204346705844
4,T1,-0.8724513151114532,-0.7020268101660921
4,T2,0.46512392397293145,0.3742666886082231
4,T3,0.3802480934563567,0.30597048969638235
4,T4,0.014326235568421827,0.011527750928431325
5,U1,32.24377348266174,30.900210914665347
5,U2,-5.805937628878449,-5.56401059529234
5,U3,22.33206784976284,21.40151515111449
5,U4,55.56571925113299,53.25035686063105
5,T1,0.1348412075225369,0.12922252275078921
5,T2,0.0045946967782619745,0.004403240818372978
5,T3,-0.17498663178008925,-0.16769513134556607
5,T4,0.047997019663238515,0.0459970366578502
6,U1,26.003762266008813,22.009383709330184
6,U2,36.99238574609291,31.310069822995644
6,U3,18.01936433806003,15.251450919200206
6,U4,37.13412005702676,31.430032649997738
6,T1,-2.324295080882504,-1.967265419732027
6,T2,1.2173191795890035,1.0303295594777655
6,T3,0.4770625166607629,0.40378203258112716
6,T4,0.6288062130024485,0.5322167261493687
7,U1,26.003762266001782,23.010987775725717
7,U2,27.60650347783749,24.429269409588453
7,U3,18.019364338053926,15.945514663138798
7,U4,41.32136632020198,36.56568790100117
7,T1,0.509854719446826,0.45117551055010763
7,T2,0.3075442884375599,0.27214899864638187
7,T3,-0.6457887569207658,-0.5714648918565771
7,T4,-0.11675692837577868,-0.10331936679405043
