extension_pct,regime,component,increment_kW,share_pct
2,0,U1,20.323299802778454,17.7436013552985
2,0,U2,50.94645857074952,44.47966915392477
2,0,U3,18.097597820372396,15.800414515821203
2,0,U4,25.17139721855304,21.97631497522929
2,0,T1,0.0,0.0
2,0,T2,-3.1358339555411004e-10,-2.7377929845783853e-10
2,0,T3,0.0,0.0
2,0,T4,0.0,0.0
2,1,U1,54.62501637451564,47.97988165538192
2,1,U2,55.85233018151012,49.057892704566406
2,1,U3,-2.8897284998586437,-2.538192949706579
2,1,U4,6.262217520465917,5.500418589757871
2,1,T1,4.427828867178095e-13,3.889183365748191e-13
2,1,T2,-2.3354687983474347e-14,-2.0513589558725425e-14
2,1,T3,0.0,0.0
2,1,T4,0.0,0.0
2,2,U1,21.48210830594754,20.55150202353545
2,2,U2,19.185071439991006,18.353972939028814
2,2,U3,52.32072513167399,50.05418802952132
2,2,U4,11.540261815227067,11.040336947845342
2,2,T1,2.6553083803043105e-08,2.540280254328028e-08
2,2,T2,-4.6709375966948693e-14,-4.4685922863402227e-14
2,2,T3,1.923696063573682e-08,1.84036142915526e-08
2,2,T4,1.699910603668593e-08,1.626270369442842e-08
2,3,U1,22.88203198882653,20.4859226929933
2,3,U2,9.650114095420204,8.639595095133052
2,3,U3,68.03809505838419,60.91343444608426
2,3,U4,11.084872665527017,9.924111835808455
2,3,T1,0.286364660024395,0.2563777679416624
2,3,T2,0.12852779122718697,0.11506890630460852
2,3,T3,4.982820261915356e-13,4.4610404674079606e-13
2,3,T4,-0.37363635827414626,-0.3345107442657782
2,4,U1,-19.95682625925827,-19.43700525389571
2,4,U2,17.559936760915914,17.102548203107144
2,4,U3,62.47349601332762,60.84623148317236
2,4,U4,42.515169981065206,41.40776552127717
2,4,T1,-0.45379857815673985,-0.4419783603493065
2,4,T2,1.203570977520598,1.1722212294478194
2,4,T3,-0.23485632981749555,-0.22873896166007843
2,4,T4,-0.43230420909639317,-0.4210438610993912
2,5,U1,41.52039337049059,42.8891906714989
2,5,U2,20.133792988729294,20.797541071656166
2,5,U3,54.3729553464969,56.165461353413164
2,5,U4,-19.186847361740483,-19.81937761378464
2,5,T1,0.1476426968354452,0.15251001403879275
2,5,T2,-0.5418694039029652,-0.5597331406682462
2,5,T3,0.12833548092716682,0.13256629970456207
2,5,T4,0.2341230409056836,0.24184134414130085
2,6,U1,16.97748797401237,14.686758958101674
2,6,U2,64.06692952534358,55.42254263791611
2,6,U3,16.418768359520698,14.203425951725032
2,6,U4,18.150321796237307,15.701345313355963
2,6,T1,-0.7122964678708374,-0.6161881278513919
2,6,T2,0.575652108073502,0.4979808419207812
2,6,T3,0.004047730001296493,0.00350158014822428
2,6,T4,0.116328790802704,0.1006328446836162
2,7,U1,17.24690615453635,4.59974456308008
2,7,U2,17.546108878662857,4.679541837514582
2,7,U3,22.723152291676875,6.060257722350388
2,7,U4,45.50461816638208,12.1360676593464
2,7,T1,101.17289461948755,26.982779855542862
2,7,T2,122.16679765967868,32.581847334758564
2,7,T3,27.31084606926103,7.283794240809883
2,7,T4,21.282239733581378,5.675966786597236
3,0,U1,23.068341765010228,20.24196740326145
3,0,U2,33.60792271938685,29.490220108018974
3,0,U3,24.17478594641132,21.212848070870606
3,0,U4,33.11189252579796,29.054964418124126
3,0,T1,0.0,0.0
3,0,T2,-3.1358339555411004e-10,-2.7516259884090217e-10
3,0,T3,0.0,0.0
3,0,T4,0.0,0.0
3,1,U1,52.17435910364443,46.28549745199278
3,1,U2,53.02161001271042,47.03712009703325
3,1,U3,-10.053905516249898,-8.919132427300974
3,1,U4,17.58084525003666,15.596514878274965
3,1,T1,0.0,0.0
3,1,T2,-2.3354687983474347e-14,-2.0718670429737594e-14
3,1,T3,0.0,0.0
3,1,T4,0.0,0.0
3,2,U1,47.282835140688626,45.60696126470652
3,2,U2,-2.36921585849334,-2.2852423202738703
3,2,U3,27.037860498594064,26.07954139743996
3,2,U4,31.723121123083693,30.598739520402628
3,2,T1,-6.3760502643739975e-09,-6.150060091868077e-09
3,2,T2,7.153762798874035e-08,6.900207694702864e-08
3,2,T3,0.0,0.0
3,2,T4,7.762401240443098e-08,7.48727379905676e-08
3,3,U1,31.63536882769057,28.687534882523316
3,3,U2,21.232982571600513,19.2544595101933
3,3,U3,45.363467495093275,41.13642749815547
3,3,U4,11.848486924130407,10.744426081847768
3,3,T1,2.7062646925719553,2.4540906474763156
3,3,T2,-1.2868090698250922,-1.1669021555848758
3,3,T3,0.0,0.0
3,3,T4,-1.2241000530009776,-1.1100364646113003
3,4,U1,-20.047722454962894,-19.52965360325896
3,4,U2,17.753116550676328,17.29434440205761
3,4,U3,62.43349468868878,60.82010199663135
3,4,U4,42.50024039088753,41.4019584894939
3,4,T1,-0.09436006380989492,-0.09192163171295613
3,4,T2,0.2370778393949209,0.23095132580737013
3,4,T3,-0.22057965189981718,-0.214879480859156
3,4,T4,0.09146204394327653,0.08909850184084395
3,5,U1,41.519531609735594,42.88830058534972
3,5,U2,20.13529841850579,20.799096171549817
3,5,U3,54.3719496121351,56.164422573349675
3,5,U4,-19.18631095982872,-19.81882356727203
3,5,T1,0.15225719457874556,0.15727663762575148
3,5,T2,-0.5488281053622314,-0.5669212498279738
3,5,T3,0.12966902599032845,0.13394380783377405
3,5,T4,0.2349591730228028,0.24270504139127333
3,6,U1,14.560700738653424,12.627705286649466
3,6,U2,64.31902475549992,55.78039845163914
3,6,U3,16.77436167508104,14.54749324270367
3,6,U4,19.630906565445404,17.024819551447074
3,6,T1,-0.5022286219742994,-0.4355556191039502
3,6,T2,0.7883529209175931,0.6836956906057042
3,6,T3,-0.11464293302129112,-0.09942359213158583
3,6,T4,-0.1489001443854706,-0.12913301180951017
3,7,U1,23.036306696361056,21.112786238438595
3,7,U2,11.323562720820075,10.37805071504763
3,7,U3,27.945339270050486,25.611916968548602
3,7,U4,46.771780950573124,42.866359882094855
3,7,T1,0.08616312655854194,0.07896854720003314
3,7,T2,0.36182756275654715,0.33161513641685175
3,7,T3,-0.2162586036233834,-0.1982011149054965
3,7,T4,-0.19803194433105895,-0.18149637284107153
4,0,U1,25.155633892460102,22.14029069007046
4,0,U2,25.592452321421455,22.524748781539312
4,0,U3,23.790580259578576,20.938862637462638
4,0,U4,39.080591033334976,34.39609788871751
4,0,T1,2.8246518605476595e-09,2.4860678748198136e-09
4,0,T2,-3.1358339555411004e-10,-2.759949346865125e-10
4,0,T3,0.0,0.0
4,0,T4,0.0,0.0
4,1,U1,54.55138105554488,49.257678387762944
4,1,U2,48.001078190454045,43.34302131349827
4,1,U3,-15.362100438838143,-13.8713518912806
4,1,U4,23.55660053206999,21.270652190019405
4,1,T1,0.0,0.0
4,1,T2,-2.3354687983474347e-14,-2.1088333370793714e-14
4,1,T3,0.0,0.0
4,1,T4,0.0,0.0
4,2,U1,47.27659054208459,45.60099699952845
4,2,U2,-2.371100939267983,-2.28706354619393
4,2,U3,27.037948952259164,26.079660460028762
4,2,U4,31.7310283551128,30.606406092786933
4,2,T1,-6.3760502643739975e-09,-6.150068049339093e-09
4,2,T2,-7.006406395042304e-14,-6.75808287641618e-14
4,2,T3,-4.7455431065860536e-14,-4.577349899458753e-14
4,2,T4,-4.6276470271754975e-14,-4.463632334342225e-14
4,3,U1,35.830718982878174,32.82965634734833
4,3,U2,14.262112300296897,13.067564896751787
4,3,U3,44.467837117842514,40.74335800479557
4,3,U4,14.536895731836543,13.319333375963785
4,3,T1,-0.0753788518786817,-0.06906536830079567
4,3,T2,0.514011315707269,0.47095942622255765
4,3,T3,9.908088309157271e-06,9.078219569198388e-06
4,3,T4,-0.3948904831299898,-0.36181576100080115
4,4,U1,-51.07236439110233,-50.10887175135198
4,4,U2,35.46759503416137,34.798490183182224
4,4,U3,80.91306375894409,79.3866190305505
4,4,U4,36.65206717925641,35.9606169716956
4,4,T1,-0.4720324932983195,-0.46312748491583744
4,4,T2,0.050066085358962314,0.04912157641915538
4,4,T3,0.2737335187379515,0.2685694689881237
4,4,T4,0.11066981861551785,0.10858200543220778
4,5,U1,41.519531609735594,42.88830058534972
4,5,U2,20.13529841850579,20.799096171549817
4,5,U3,54.3719496121351,56.164422573349675
4,5,U4,-19.18631095982872,-19.81882356727203
4,5,T1,0.15225719457874556,0.15727663762575148
4,5,T2,-0.5488281053622314,-0.5669212498279738
4,5,T3,0.12966902599032845,0.13394380783377405
4,5,T4,0.2349591730228028,0.24270504139127333
4,6,U1,-11.8329302649568,-10.27352944536285
4,6,U2,64.6882980273091,56.16336103341296
4,6,U3,32.341958569385675,28.079778739784715
4,6,U4,30.044095594291832,26.084739268796852
4,6,T1,-0.9497413622787605,-0.8245798489783878
4,6,T2,0.26817399497490507,0.23283272800267232
4,6,T3,0.25309483947422656,0.21974077659430397
4,6,T4,0.3658733022868061,0.3176567477497399
4,7,U1,23.03632141020136,21.112799925655363
4,7,U2,11.32355185710411,10.378040857727926
4,7,U3,27.94534426823603,25.61192179440381
4,7,U4,46.77177076250514,42.86635095480536
4,7,T1,0.08616186969559415,0.07896739603997245
4,7,T2,0.36183272012240897,0.33161986631759277
4,7,T3,-0.21626310804257368,-0.1982052451039898
4,7,T4,-0.1980310444610539,-0.18149554984604843
5,0,U1,-2.1057441462983753,-1.8696674292111548
5,0,U2,35.89107023066303,31.867292675495033
5,0,U3,36.43576994754157,32.35092565680407
5,0,U4,42.40557293594508,37.65144909686492
5,0,T1,5.82609061470802e-13,5.172922779389224e-13
5,0,T2,2.7698659948400574e-11,2.4593340282747738e-11
5,0,T3,2.401244811932543e-11,2.1320392709268838e-11
5,0,T4,7.866999946198346e-13,6.985024078480234e-13
5,1,U1,53.432172082722424,48.58253147609116
5,1,U2,49.51686993917263,45.02259216961999
5,1,U3,-22.55686225167096,-20.50954373793859
5,1,U4,29.590092580112202,26.90442009222746
5,1,T1,0.0,0.0
5,1,T2,-2.3354687983474347e-14,-2.1234956765650912e-14
5,1,T3,0.0,0.0
5,1,T4,0.0,0.0
5,2,U1,47.276590437506506,45.60099690167957
5,2,U2,-2.3711010102580383,-2.287063614819531
5,2,U3,27.03794906870733,26.07966057407846
5,2,U4,31.73102840736058,30.60640614521171
5,2,T1,-6.3760502643739975e-09,-6.1500680497467585e-09
5,2,T2,-7.006406395042304e-14,-6.758082876864148e-14
5,2,T3,-4.7455431065860536e-14,-4.5773498997621684e-14
5,2,T4,-4.6276470271754975e-14,-4.463632334638103e-14
5,3,U1,35.83071896393115,32.82965633088611
5,3,U2,14.26211231455249,13.067564910170766
5,3,U3,44.467837116299705,40.74335800449628
5,3,U4,14.536895735086603,13.3193333793059
5,3,T1,-0.07537885189546084,-0.06906536831805833
5,3,T2,0.5140113157159802,0.4709594262434196
5,3,T3,9.908090515834815e-06,9.078221591300192e-06
5,3,T4,-0.39489048312485314,-0.36181576100599006
5,4,U1,-50.69690910158754,-50.37111022708159
5,4,U2,41.28154935588891,41.01625739714128
5,4,U3,67.78233642037925,67.34673966885161
5,4,U4,42.32476792883922,42.052771824948344
5,4,T1,-0.3724108739516603,-0.3700176108171346
5,4,T2,-0.12450743606155933,-0.1237073008411814
5,4,T3,0.3128506384611735,0.3108401335269402
5,4,T4,0.1391201567546688,0.1382261142717052
5,5,U1,41.5195304917404,42.88829944022272
5,5,U2,20.13533545118153,20.799134429793178
5,5,U3,54.371889496487704,56.16436048861294
5,5,U4,-19.186278602967743,-19.818790148200588
5,5,T1,0.15203235100060966,0.1570443816943526
5,5,T2,-0.5487273765868397,-0.5668172004687269
5,5,T3,0.12985442269514763,0.13413531651796132
5,5,T4,0.23488971327509522,0.24263329182815288
5,6,U1,-21.881700274696843,-19.059218862083508
5,6,U2,62.22073391790591,54.19499264744685
5,6,U3,38.39503117163128,33.44252471837577
5,6,U4,36.07758749170311,31.424003957108507
5,6,T1,-0.6854416349091235,-0.5970277434073078
5,6,T2,0.6969598538159247,0.6070602478420736
5,6,T3,-0.007595287597918102,-0.00661558502455976
5,6,T4,-0.006566363787765624,-0.005719380257840523
5,7,U1,23.036321361677494,21.112799882701584
5,7,U2,11.323551794151514,10.378040800778198
5,7,U3,27.945344265303365,25.611921793557947
5,7,U4,46.77177086906744,42.86635105555258
5,7,T1,0.08616186973959279,0.0789673960859763
5,7,T2,0.36183272007742784,0.3316198663002166
5,7,T3,-0.21626310804252621,-0.19820524511820056
5,7,T4,-0.19803104446017464,-0.18149554985829516
