regime,label,share,power_10_kW,raw_5_feasible,power_5_conditional_kW,conditional_5_feasible,increase_pct,voltage_upper_factor
0,R1,0.011904761904761904,2036.0091814311093,False,2147.504250121041,True,5.476157460722349,1.1
1,R2,0.16904761904761906,1961.404837778202,True,2071.245601456773,True,5.60010669714642,1.1
2,R3,0.15654761904761905,2000.0213259257034,True,2103.6957928177667,True,5.1836680713430825,1.1
3,R4,0.16021825396825398,2021.9216058085347,True,2131.062921980378,True,5.397900485276216,1.1
4,R5,0.12638888888888888,2084.39649299557,True,2184.2962017908517,True,4.792740207104827,1.1
5,R6,0.17023809523809524,2026.7570110853908,True,2123.5362899420347,True,4.775080501871098,1.1
6,R7,0.1193452380952381,2117.9978673951878,False,2232.554944672507,True,5.408743749973981,1.1
7,R8,0.08630952380952381,2152.8904668204023,False,2260.828089689631,True,5.01361423317747,1.1
