power_kW,c_mean_mgNm3,c_median_mgNm3,c_p95_mgNm3,compliance_probability,dust_load_index,feasible,regime,limit_mgNm3,global_iterations,local_success,design_confidence,voltage_upper_factor,verification_repair,U1_kV,U2_kV,U3_kV,U4_kV,T1_s,T2_s,T3_s,T4_s,history_power_mean_kW,saving_vs_history_pct
2036.0091814311093,5.643502802155515,5.387952580431545,9.124135813206305,0.9731,0.90289783382491,True,0,10.0,90,True,0.975,1.0,False,69.87518729862877,68.51461271060126,58.580981146455066,56.612791516619865,290.0,288.99999999951365,506.0,510.0,1668.4366666666667,-22.03095401270506
1961.404837778202,5.7987183628381045,5.603791060678487,9.427218271320953,0.9675,1.0982096871786087,True,1,10.0,90,True,0.975,1.0,False,65.59785517006888,68.18236482128808,54.70817078463674,58.2,290.0,288.99999999999994,506.0,510.0,1826.2083920187795,-7.40312257627782
2000.0213259257034,4.241219879641015,3.5788748129022228,9.253735352818854,0.9713,1.2570716398653299,True,2,10.0,90,True,0.975,1.0,False,68.7681161851587,70.57888941892283,54.1246291939302,56.08943890823852,289.99999999002114,288.9999999999999,505.9999999999998,509.9999999999998,1602.8751584283905,-24.777111642725338
2021.9216058085347,3.721711377030934,2.826140706616596,8.792684863236857,0.9749,1.449999999986336,True,3,10.0,90,True,0.975,1.0,False,70.43089639673956,70.80050296216312,50.995783761977066,58.19999999999997,285.4706310917489,285.6012329272724,506.0,502.21728599702135,1772.3654489164085,-14.080400689637692
2084.39649299557,4.331276089070723,3.679183672514285,9.04383516653091,0.9719,1.4499999999871944,True,4,10.0,90,True,0.975,1.0,False,70.89999999999999,71.4,53.10136537097453,54.89938546635688,258.0078550513174,257.6231544444855,458.5902497049314,454.34781074123043,1923.5180533751961,-8.363760316056332
2026.7570110853908,5.530675565276535,5.240872940590444,8.9936128479626,0.9764,1.4500000000029545,True,5,10.0,90,True,0.975,1.0,True,67.69251300175506,67.65706229381261,52.225991211415085,57.36615226532909,255.8186544997006,254.7549110935741,449.65574391651626,446.09509259212666,1691.1372377622379,-19.845803511916916
2117.9978673951878,6.008855103705377,5.799430668121144,9.379558979234208,0.9702,1.4499999999991493,True,6,10.0,90,True,0.975,1.0,False,70.89999999995628,67.03677947407294,58.374140849935706,57.542329545456255,253.45933937231453,254.87329517736856,450.4333071146568,446.7563044037406,1805.110889443059,-17.333393742290564
2152.8904668204023,6.034111226858363,5.858801391192231,9.216188862052663,0.9734,1.4500000000018662,True,7,10.0,90,True,0.975,1.0,False,70.9,71.39999992756677,58.11140813071599,54.67700653644656,249.86944825669644,250.05042270565727,440.0016237770048,434.4596833033431,1866.8557471264369,-15.321736568786589
