voltage_upper_factor,infeasible_regimes,all_regimes_feasible,weighted_power_kW,increase_vs_10_pct
1.0,3,False,,
1.02,0,True,2162.250923683864,5.996845495283694
1.1,0,True,2145.6217525847915,5.181658108659756
