工况,标签,U1_kV,历史U1_kV,U2_kV,历史U2_kV,U3_kV,历史U3_kV,U4_kV,历史U4_kV,T1_s,历史T1_s,T2_s,历史T2_s,T3_s,历史T3_s,T4_s,历史T4_s,power_kW,c_p95_mgNm3,compliance_probability
低负荷,R2,70.9,60.495598591549296,68.14704848291841,60.52212441314554,59.2,51.33832159624413,44.743326886028974,51.32306338028168,290.0,247.7294600938967,288.9999999999979,247.58039906103286,505.99999999999847,443.9160798122066,510.0,443.5416666666667,1947.6048044479749,9.052405956298214,0.9749
高负荷,R8,70.89999999999897,62.05505747126437,70.44656086232392,62.12528735632184,59.19999999999879,44.5716091954023,53.31402448891953,44.63275862068966,245.35210536163416,195.867816091954,256.33072570930483,195.3655172413793,414.4124279012955,440.5977011494253,463.80620983017747,440.4413793103448,2138.187719839931,9.20858353518976,0.9766
