parameter,direction,delta_power_kW,p95_reduction_mgNm3,reduction_per_added_kW
U4_kV,提高1%,5.121321097596592,0.29879629238601524,0.05834359664076496
U1_kV,上限处反向差分,8.497124287244333,0.49143397243322795,0.057835328261698626
U2_kV,上限处反向差分,8.649572792908657,0.47627197565828716,0.05506306346699091
U3_kV,提高1%,5.730567286308087,0.3101216940509772,0.054117101947645546
T1_s,缩短1%,2.1722940339564047,0.010706192086622934,0.004928518846559514
T2_s,缩短1%,2.1754094830662325,0.01045656128295569,0.004806709433029225
T4_s,缩短1%,1.2404386503030764,0.0016754631691906496,0.0013507021639331245
T3_s,缩短1%,1.2560189411447027,0.0016860448526987426,0.0013423721549629861
