regime,label,dust_load_index,relative_dust_slack,dust_constraint_active,primary_action_class,primary_parameter,primary_direct_benefit_mgNm3_per_kW,primary_dust_relief_per_added_kW,secondary_parameter,repeat,seed
1,R2,1.0982096871786087,0.24261400884233883,False,电压优先,U1_kV,0.05838613149091193,0.0,U3_kV,1,53026
1,R2,1.0982096871786087,0.24261400884233883,False,电压优先,U1_kV,0.05807760743486081,0.0,U2_kV,2,53027
1,R2,1.0982096871786087,0.24261400884233883,False,电压优先,U1_kV,0.0598124556243672,0.0,U3_kV,3,53028
1,R2,1.0982096871786087,0.24261400884233883,False,电压优先,U1_kV,0.05952191522233945,0.0,U3_kV,4,53029
1,R2,1.0982096871786087,0.24261400884233883,False,电压优先,U3_kV,0.05952612162523519,0.0,U4_kV,5,53030
1,R2,1.0982096871786087,0.24261400884233883,False,电压优先,U1_kV,0.06009950908442629,0.0,U3_kV,6,53031
1,R2,1.0982096871786087,0.24261400884233883,False,电压优先,U1_kV,0.05928204915246942,0.0,U3_kV,7,53032
1,R2,1.0982096871786087,0.24261400884233883,False,电压优先,U1_kV,0.061092777306529567,0.0,U4_kV,8,53033
1,R2,1.0982096871786087,0.24261400884233883,False,电压优先,U3_kV,0.06008699967178944,0.0,U1_kV,9,53034
1,R2,1.0982096871786087,0.24261400884233883,False,电压优先,U1_kV,0.05871834778809699,0.0,U3_kV,10,53035
1,R2,1.0982096871786087,0.24261400884233883,False,电压优先,U3_kV,0.0591745404964581,0.0,U1_kV,11,53036
1,R2,1.0982096871786087,0.24261400884233883,False,电压优先,U3_kV,0.06072825581493299,0.0,U1_kV,12,53037
7,R8,1.4500000000018662,-1.287093037513716e-12,True,周期优先,T3_s、T4_s,0.001237499077280053,0.002221983947531104,U4_kV,1,59026
7,R8,1.4500000000018662,-1.287093037513716e-12,True,周期优先,T3_s、T4_s,0.0013710917084178173,0.002221983947531104,U1_kV,2,59027
7,R8,1.4500000000018662,-1.287093037513716e-12,True,周期优先,T3_s、T4_s,0.0012584404199379195,0.002221983947531104,U3_kV,3,59028
7,R8,1.4500000000018662,-1.287093037513716e-12,True,周期优先,T3_s、T4_s,0.001491649947899915,0.002221983947531104,U4_kV,4,59029
7,R8,1.4500000000018662,-1.287093037513716e-12,True,周期优先,T3_s、T4_s,0.001402588841208988,0.002221983947531104,U4_kV,5,59030
7,R8,1.4500000000018662,-1.287093037513716e-12,True,周期优先,T3_s、T4_s,0.0014234576337061012,0.002221983947531104,U1_kV,6,59031
7,R8,1.4500000000018662,-1.287093037513716e-12,True,周期优先,T3_s、T4_s,0.001184201755974188,0.002221983947531104,U2_kV,7,59032
7,R8,1.4500000000018662,-1.287093037513716e-12,True,周期优先,T3_s、T4_s,0.0014340578795466468,0.002221983947531104,U4_kV,8,59033
7,R8,1.4500000000018662,-1.287093037513716e-12,True,周期优先,T3_s、T4_s,0.0013617808522346732,0.002221983947531104,U4_kV,9,59034
7,R8,1.4500000000018662,-1.287093037513716e-12,True,周期优先,T3_s、T4_s,0.0011945229040245455,0.002221983947531104,U1_kV,10,59035
7,R8,1.4500000000018662,-1.287093037513716e-12,True,周期优先,T3_s、T4_s,0.001444901022807443,0.002221983947531104,U1_kV,11,59036
7,R8,1.4500000000018662,-1.287093037513716e-12,True,周期优先,T3_s、T4_s,0.0013316918240738303,0.002221983947531104,U2_kV,12,59037
