extension_pct,voltage_upper_factor,all_regimes_feasible,infeasible_regimes,weighted_power_kW,weighted_increase_vs_10_pct,weighted_voltage_increment_kW,weighted_rapping_increment_kW,max_voltage_utilization,minimum_compliance_probability,maximum_dust_load_index,r8_power_kW,r8_increase_pct,r8_c_p95_mgNm3,r8_compliance_probability,r8_dust_load_index,U1_kV,U2_kV,U3_kV,U4_kV,T1_s,T2_s,T3_s,T4_s
2,1.02,True,0,2170.404546723339,6.396548560305183,107.00438764982951,23.48009015025722,0.9999999999999999,0.9637,1.450000000033066,2527.844030393669,17.41628612100432,4.713232830847729,0.9667,1.0537426720290743,72.31771209574246,72.82688644120601,60.382803227262336,59.35906401808428,169.92758619793142,159.5469180231759,360.7646699595738,370.28761550479487
3,1.03,True,0,2146.8638609822365,5.242548160989132,106.91060786026748,0.03318419871731836,0.9999999999999993,0.9623,1.4500000000889193,2262.0011565995683,5.0681022309653905,4.685891852160246,0.9684,1.4499999999785274,72.78741626136984,72.32407743992646,60.892838340847476,59.48417097344899,249.7693775798667,249.6310269816497,440.76819455503215,435.1614215605711
4,1.04,True,0,2146.236354889304,5.211786853107903,106.3240237877342,-0.007737821682379133,1.0,0.9612,1.4500000000002364,2262.0011555557635,5.068102182481513,4.685891925155748,0.9684,1.4500000000001423,72.78741745127765,72.32407655903916,60.892838826960656,59.48416996863901,249.76937903901472,249.6310210137536,440.768210549642,435.1614183666765
5,1.05,True,0,2145.889861917185,5.194801237965547,105.97131008112626,-0.0015170871931728166,0.9999999999999997,0.9589,1.4500000000384892,2262.001155547917,5.068102182117042,4.685891924503412,0.9684,1.4500000000001423,72.78741744735352,72.32407655393463,60.89283882667543,59.48416997914884,249.76937903896365,249.63102101380568,440.7682105496418,435.1614183666734
6,1.06,True,0,2145.7911970514742,5.1899645354293105,105.86952280724677,0.0016053209752625653,0.9999999999999997,0.9581,1.4500000000005333,2262.0011555396704,5.0681021817340035,4.685891924705098,0.9684,1.4500000000001427,72.78741745708247,72.32407654317011,60.89283882851226,59.484169977701015,249.76937903889845,249.63102101387716,440.76821054963415,435.16141836666264
7,1.07,True,0,2145.670291686533,5.18403756962397,105.74797688048714,0.0022458827939963203,0.9999999999999999,0.9581,1.450000000031564,2260.8645021159577,5.015305560576058,4.784703683903608,0.9622,1.450000000031564,75.86299999999294,72.72002792834867,60.286260997692,55.54183082675166,249.79029320719923,249.82409165956065,440.4830571940862,434.8415334572985
8,1.08,True,0,2145.6246690747175,5.181801079454067,105.70890995806943,-0.004309806604089415,0.9951816037121582,0.9578,1.4500000000036475,2260.828090759334,5.013614282864303,4.787370030113355,0.9618,1.4500000000036475,75.96810901466269,72.72094652291894,60.22627641242951,55.45911511464364,249.86330585509236,249.91402221996117,440.1993774254229,434.66504192125973
9,1.09,True,0,2145.623763400107,5.181756681900233,105.70800799637952,-0.004313519525280385,0.986051497953272,0.9578,1.4500000000021496,2260.828090472622,5.013614269546773,4.787370149235873,0.9618,1.4499999999995687,75.96811311182063,72.72094947677981,60.22627585401533,55.45911085505476,249.86350151579836,249.9145133129382,440.19931407053724,434.66316471916736
10,1.1,True,0,2145.6237619482913,5.1817566107300195,105.70859243288798,-0.004899407848996939,0.9770873934264241,0.9578,1.4500000000002362,2260.828090472622,5.013614269546773,4.787370149235873,0.9618,1.4499999999995687,75.96811311182063,72.72094947677981,60.22627585401533,55.45911085505476,249.86350151579836,249.9145133129382,440.19931407053724,434.66316471916736
