parameter,direction,delta_power_kW,p95_reduction_mgNm3,reduction_per_added_kW
U1_kV,提高1%,6.799514296314101,0.4177886177362655,0.06144389136187882
U3_kV,提高1%,5.617980488166722,0.3426057557439588,0.060983792390450084
U2_kV,提高1%,7.981169988348938,0.4505997828647761,0.0564578606297786
U4_kV,上限处反向差分,5.737950772323529,0.3208087823361563,0.05590999209744837
T2_s,缩短1%,1.8822216636629037,0.02142812824840057,0.011384487099516371
T1_s,缩短1%,1.8716893507446457,0.019579737148388787,0.010460997248608083
T4_s,缩短1%,1.0567070258191507,0.008010523069790665,0.007580647117947354
T3_s,缩短1%,1.0921944142255597,0.007885533333070072,0.007219898976192304
