extension_pct,power_kW,c_mean_mgNm3,c_median_mgNm3,c_p95_mgNm3,compliance_probability,dust_load_index,feasible,regime,limit_mgNm3,global_iterations,local_success,design_confidence,voltage_upper_factor,verification_repair,U1_kV,U2_kV,U3_kV,U4_kV,T1_s,T2_s,T3_s,T4_s,history_power_mean_kW,saving_vs_history_pct
3,2103.695926972362,2.1366195767097715,1.7931446840941603,4.735907625727736,0.9623,1.257071639550404,True,2,5.0,,True,0.975,1.03,False,72.70280071075538,70.38175539159477,57.006392166024916,59.314795060573964,290.0,288.9999998890501,505.9999999999998,509.9999996215777,,
3,2132.197267196795,1.7819143959506545,1.3294789650694425,4.331817698177982,0.9761,1.4499999999886044,True,3,5.0,,True,0.975,1.03,False,73.02699999999976,72.53791662589555,56.016811125934666,59.38234518306612,281.4246221663017,287.5637094201173,506.0,508.0715661088376,,
3,2187.0492223384886,2.1436275543000933,1.780927288948237,4.716217868102538,0.9651,1.4499999999582367,True,4,5.0,,True,0.975,1.03,False,69.2155729375246,72.843553988624,59.65950223538424,59.26731329649708,258.1248006619525,257.3313011062935,459.43969049501317,453.99420469225254,,
3,2123.565537054168,2.800126410922593,2.6265593400609846,4.682980453412648,0.9653,1.450000000000039,True,5,5.0,,True,0.975,1.03,False,71.2114491587723,69.3804125939038,58.06521677451943,55.36926001156081,255.6333608218134,255.41805333662182,449.1770605900354,445.2204412222515,,
3,2233.3054423514036,2.8714817069064353,2.745594737458254,4.626683114965345,0.9718,1.4500000000889193,True,6,5.0,,True,0.975,1.03,False,72.09873628836323,72.44526878373352,60.051863492152044,59.510140099871904,254.06117945172883,253.9258629640423,450.8588395918963,447.31402715393125,,
3,2262.0011565995683,2.9958880155679766,2.8873109356923203,4.685891852160246,0.9684,1.4499999999785274,True,7,5.0,,True,0.975,1.03,False,72.78741626136984,72.32407743992646,60.892838340847476,59.48417097344899,249.7693775798667,249.6310269816497,440.76819455503215,435.1614215605711,,
4,2149.6284389404154,2.818471358718584,2.6636110879317387,4.753559973971517,0.9636,0.9028978338211341,True,0,5.0,,True,0.975,1.04,False,71.96311434073466,70.67122314497192,60.938672487283206,60.52731601609173,289.9999999955793,289.0,506.0,510.0,,
4,2072.1517971174326,2.8301046673320314,2.7111530943662707,4.763486313647992,0.967,1.0982096871786087,True,1,5.0,,True,0.975,1.04,False,70.32276977009238,72.19301595307135,53.019106589127354,60.528000000000006,290.0,289.0,506.0,510.0,,
4,2103.695792829516,2.136621498391616,1.7931442261795967,4.7359124601568885,0.9623,1.2570716398786692,True,2,5.0,,True,0.975,1.04,False,72.70229512075396,70.38159832088728,57.00640135534725,59.315577142232,290.0,289.0,506.0,510.0,,
4,2131.0629218301756,1.7945717606872735,1.3377488460584757,4.365715671319384,0.9748,1.4500000000002364,True,3,5.0,,True,0.975,1.04,False,73.36438538781225,71.97214160984481,55.9220414918533,59.6473559245512,285.584992467971,284.8247949916157,505.9999536334054,504.0910606262936,,
4,2186.319291506244,2.1598147398908645,1.8022718262898527,4.796568369700955,0.9612,1.4500000000002335,True,4,5.0,,True,0.975,1.04,False,66.52483625224177,74.25599999939057,61.46657412363988,58.68556489963933,258.59393409799617,257.5614657453708,457.54047367566176,453.92001446044753,,
4,2123.565537054168,2.800126410922593,2.6265593400609846,4.682980453412648,0.9653,1.450000000000039,True,5,5.0,,True,0.975,1.04,False,71.2114491587723,69.3804125939038,58.06521677451943,55.36926001156081,255.6333608218134,255.41805333662182,449.1770605900354,445.2204412222515,,
4,2233.176690095674,2.8763000006784636,2.740465781013998,4.673312389949842,0.9696,1.44999999999024,True,6,5.0,,True,0.975,1.04,False,69.91069491947754,72.47515515035062,61.56799999999995,60.527999999999956,254.59986449827073,254.55021474287204,449.49670606989736,445.39177268674655,,
4,2262.0011555557635,2.995888035111045,2.887311057093005,4.685891925155748,0.9684,1.4500000000001423,True,7,5.0,,True,0.975,1.04,False,72.78741745127765,72.32407655903916,60.892838826960656,59.48416996863901,249.76937903901472,249.6310210137536,440.768210549642,435.1614183666765,,
5,2148.6358503990136,2.8369681813590413,2.674590148308955,4.771826830969553,0.9626,0.902897833824828,True,0,5.0,,True,0.975,1.05,False,69.6975727602809,71.52071420988797,62.155444719098405,60.84874110386372,289.9999999999991,288.9999999994707,505.9999999998877,509.99999999999613,,
5,2071.387110128538,2.8483646650563395,2.722307481463554,4.817075915820086,0.9642,1.0982096871786087,True,1,5.0,,True,0.975,1.05,False,70.22902471588445,72.31604263411025,52.2092561024769,61.109999999999985,290.0,289.0,506.0,510.0,,
5,2103.6957928226434,2.1366214984771092,1.7931442263256225,4.73591246042766,0.9623,1.2570716398786692,True,2,5.0,,True,0.975,1.05,False,72.70229511228683,70.38159831497217,57.00640136744488,59.315577147399644,290.0,289.0,506.0,510.0,,
5,2131.0629218271906,1.794571760722696,1.3377488461210492,4.365715671417263,0.9748,1.4500000000002362,True,3,5.0,,True,0.975,1.05,False,73.36438538629206,71.97214161100638,55.92204149168991,59.647355924870865,285.58499246799647,284.8247949916026,505.99995363339514,504.09106062626915,,
5,2185.0432900842925,2.178800314037766,1.8162408239489265,4.821151383860481,0.9589,1.4500000000007232,True,4,5.0,,True,0.975,1.05,False,66.55804936609067,74.71375001469237,60.188131889860905,59.24994125340709,258.470021589935,257.7766939112207,457.3908507311308,453.81016927593555,,
5,2123.5655370322165,2.8001264315469814,2.6265590057796944,4.682980813689369,0.9653,1.4500000000001487,True,5,5.0,,True,0.975,1.05,False,71.21144906635917,69.38041572411073,58.065210643075744,55.369263439958274,255.6336342536315,255.4179313105242,449.1763769132634,445.2206992840259,,
5,2232.8068762692524,2.885502578244207,2.749430820895208,4.724412165130113,0.968,1.4500000000384892,True,6,5.0,,True,0.975,1.05,False,69.05942941211613,72.27521334557382,62.14752598884355,61.109999985539034,254.28144284823026,254.0353368454694,450.46147451143713,446.78087016537285,,
5,2262.001155547917,2.9958880352632087,2.8873110569790006,4.685891924503412,0.9684,1.4500000000001423,True,7,5.0,,True,0.975,1.05,False,72.78741744735352,72.32407655393463,60.89283882667543,59.48416997914884,249.76937903896365,249.63102101380568,440.7682105496418,435.1614183666734,,
6,2147.936533504278,2.8502559382765953,2.6830692906048617,4.806345158796074,0.9607,0.9028978338253784,True,0,5.0,,True,0.975,1.06,False,69.7081801665487,70.47646063765755,62.441653753907865,61.691999999999986,290.0,289.0,506.0,510.0,,
6,2071.2456014927475,2.849773403015004,2.722963032981615,4.811596312643395,0.9643,1.0982096871786082,True,1,5.0,,True,0.975,1.06,False,70.19969236293353,71.95676867150326,52.525825242978456,61.28528510108035,289.99999999999994,289.0,505.999999999999,510.0,,
6,2103.6957928192114,2.136621498531334,1.7931442263180104,4.735912460500964,0.9623,1.2570716398786692,True,2,5.0,,True,0.975,1.06,False,72.70229511093542,70.38159831303324,57.006401361436694,59.31557715673267,290.0,289.0,506.0,510.0,,
6,2131.0629218215154,1.7945717607926446,1.337748846229767,4.365715671596635,0.9748,1.4500000000002364,True,3,5.0,,True,0.975,1.06,False,73.36438538442611,71.97214161418437,55.922041489875504,59.64735592444909,285.5849924679043,284.82479499169955,505.99995363339525,504.0910606262545,,
6,2184.657545566074,2.186502527002481,1.8208004432898783,4.847223148862568,0.9581,1.450000000000008,True,4,5.0,,True,0.975,1.06,False,66.72354540571577,75.68399999998375,58.87796715427654,59.09492268876259,258.65513880766315,257.17834108353327,457.9764168802724,454.39518352535174,,
6,2123.5655370322165,2.8001264315469814,2.6265590057796944,4.682980813689369,0.9653,1.4500000000001487,True,5,5.0,,True,0.975,1.06,False,71.21144906635917,69.38041572411073,58.065210643075744,55.369263439958274,255.6336342536315,255.4179313105242,449.1763769132634,445.2206992840259,,
6,2232.6588674865047,2.8892904783730593,2.752827361438815,4.739392757409667,0.9659,1.4500000000005333,True,6,5.0,,True,0.975,1.06,False,68.46976688643669,72.57854139283981,62.72753673408881,60.81052104921934,254.22877127818919,254.23027314993115,449.66547933652527,447.17397537063187,,
6,2262.0011555396704,2.9958880354185347,2.8873110578238435,4.685891924705098,0.9684,1.4500000000001427,True,7,5.0,,True,0.975,1.06,False,72.78741745708247,72.32407654317011,60.89283882851226,59.484169977701015,249.76937903889845,249.63102101387716,440.76821054963415,435.16141836666264,,
